,real_test,pred_test,pred_futuro
2026-03-14 13:20:00,527.011,568.973193899529,
2026-03-14 13:30:00,254.275,556.2233753717284,
2026-03-14 13:40:00,426.89,511.66844098601945,
2026-03-14 13:50:00,637.933,503.636009885677,
2026-03-14 14:00:00,468.457,481.30617124240484,
2026-03-14 14:10:00,181.6,487.6383834965908,
2026-03-14 14:20:00,,,568.973193899529
2026-03-14 14:30:00,,,556.2233753717284
2026-03-14 14:40:00,,,511.66844098601945
2026-03-14 14:50:00,,,503.636009885677
2026-03-14 15:00:00,,,481.30617124240484
2026-03-14 15:10:00,,,487.6383834965908
