Fase,FechaMedicion,Voltaje,Corriente,Potencia,FactorPotencia,Frecuencia,EnergiaActiva
1,2026-02-15 13:10:00,119.81,3.86,405.89,0.877,59.97,0.159
1,2026-02-15 13:20:00,120.038,3.536,369.512,0.874,59.962,0.222
1,2026-02-15 13:30:00,118.86,4.576,499.55,0.909,59.97,0.297
1,2026-02-15 13:40:00,118.33,8.893,1003.49,0.934,59.95,0.452
1,2026-02-15 13:50:00,119.23,6.094,696.68,0.937,59.96,0.585
1,2026-02-15 14:00:00,118.78,4.23,435.45,0.856,59.91,0.649
1,2026-02-15 14:10:00,120.16,2.584,279.79,0.872,59.95,0.704
1,2026-02-15 14:20:00,119.1,3.693,375.04,0.846,59.94,0.766
1,2026-02-15 14:30:00,120.07,2.871,303.42,0.88,59.96,0.814
1,2026-02-15 14:40:00,119.73,4.023,429.61,0.888,59.96,0.879
1,2026-02-15 14:50:00,119.96,3.58,401.47,0.92,59.95,0.948
1,2026-02-15 15:00:00,119.78,5.162,605.0,0.971,59.97,1.052
1,2026-02-15 15:10:00,120.75,2.131,230.52,0.898,59.97,1.092
1,2026-02-15 15:20:00,119.89,4.726,513.25,0.901,59.95,1.166
1,2026-02-15 15:30:00,119.84,3.764,395.53,0.876,59.96,1.233
1,2026-02-15 15:40:00,119.18,4.94,522.03,0.883,59.95,1.323
1,2026-02-15 15:50:00,119.87,3.751,394.37,0.878,59.98,1.388
1,2026-02-15 16:00:00,118.9,2.918,306.42,0.885,59.94,1.455
1,2026-02-15 16:10:00,119.35,3.938,419.29,0.889,59.97,1.52
1,2026-02-15 16:20:00,119.33,4.094,428.35,0.88,59.92,1.593
1,2026-02-15 16:30:00,119.7,3.821,405.84,0.887,59.96,1.66
1,2026-02-15 16:40:00,119.87,3.856,425.51,0.911,59.97,1.733
1,2026-02-15 16:50:00,119.73,3.349,350.56,0.875,59.95,1.796
1,2026-02-15 17:00:00,119.54,2.486,262.03,0.884,59.95,1.843
1,2026-02-15 17:10:00,119.45,3.794,403.03,0.882,59.96,1.908
1,2026-02-15 17:20:00,119.38,3.314,360.67,0.899,59.94,1.962
1,2026-02-15 17:30:00,118.1,3.457,359.85,0.882,59.98,2.03
1,2026-02-15 17:40:00,119.47,2.466,258.66,0.878,59.94,2.079
1,2026-02-15 17:50:00,118.16,3.606,383.15,0.899,59.96,2.144
1,2026-02-15 18:00:00,116.46,4.584,495.86,0.925,59.96,2.218
1,2026-02-15 18:10:00,119.74,3.173,346.79,0.916,59.93,2.276
1,2026-02-15 18:20:00,118.88,3.9,420.46,0.909,59.93,2.346
1,2026-02-15 18:30:00,118.08,2.897,313.13,0.917,59.95,2.402
1,2026-02-15 18:40:00,117.73,3.96,424.07,0.911,59.96,2.483
1,2026-02-15 18:50:00,116.78,3.113,330.57,0.913,59.97,2.546
1,2026-02-15 19:00:00,119.67,4.413,481.07,0.908,59.97,2.626
1,2026-02-15 19:10:00,118.95,2.972,324.66,0.918,59.96,2.678
1,2026-02-15 19:20:00,117.771,4.043,433.829,0.911,59.957,2.75
