,real_test,pred_test,pred_futuro
2026-03-14 13:20:00,19.9,28.394249767613807,
2026-03-14 13:30:00,19.788,38.06706456169045,
2026-03-14 13:40:00,19.88,47.83427303665739,
2026-03-14 13:50:00,20.233,55.34310423437061,
2026-03-14 14:00:00,21.157,61.80441955447771,
2026-03-14 14:10:00,21.5,68.34402597594946,
2026-03-14 14:20:00,,,28.394249767613807
2026-03-14 14:30:00,,,38.06706456169045
2026-03-14 14:40:00,,,47.83427303665739
2026-03-14 14:50:00,,,55.34310423437061
2026-03-14 15:00:00,,,61.80441955447771
2026-03-14 15:10:00,,,68.34402597594946
