FechaMedicion,Potencia
2026-02-15 13:10:00,61.62
2026-02-15 13:20:00,65.475
2026-02-15 13:30:00,65.88
2026-02-15 13:40:00,66.3
2026-02-15 13:50:00,73.29
2026-02-15 14:00:00,78.25
2026-02-15 14:10:00,76.11
2026-02-15 14:20:00,80.08
2026-02-15 14:30:00,90.34
2026-02-15 14:40:00,108.13
2026-02-15 14:50:00,107.66
2026-02-15 15:00:00,107.89
2026-02-15 15:10:00,107.85
2026-02-15 15:20:00,105.01
2026-02-15 15:30:00,72.19
2026-02-15 15:40:00,71.27
2026-02-15 15:50:00,75.94
2026-02-15 16:00:00,104.06
2026-02-15 16:10:00,112.43
2026-02-15 16:20:00,115.39
2026-02-15 16:30:00,112.96
2026-02-15 16:40:00,113.53
2026-02-15 16:50:00,101.53
2026-02-15 17:00:00,96.08
2026-02-15 17:10:00,503.36
2026-02-15 17:20:00,944.28
2026-02-15 17:30:00,961.68
2026-02-15 17:40:00,974.46
2026-02-15 17:50:00,990.72
2026-02-15 18:00:00,986.06
2026-02-15 18:10:00,921.43
2026-02-15 18:20:00,900.45
2026-02-15 18:30:00,919.08
2026-02-15 18:40:00,531.32
2026-02-15 18:50:00,938.73
2026-02-15 19:00:00,888.1
2026-02-15 19:10:00,918.95
2026-02-15 19:20:00,887.586
2026-02-15 19:30:00,560.74
2026-02-15 19:40:00,541.5
2026-02-15 19:50:00,192.79
2026-02-15 20:00:00,172.58
2026-02-15 20:10:00,172.57
2026-02-15 20:20:00,169.94
2026-02-15 20:30:00,155.79
2026-02-15 20:40:00,138.32
2026-02-15 20:50:00,135.75
2026-02-15 21:00:00,132.64
2026-02-15 21:10:00,135.0
2026-02-15 21:20:00,133.59
2026-02-15 21:30:00,51.49
2026-02-15 21:40:00,37.82
2026-02-15 21:50:00,34.956
2026-02-15 22:00:00,35.36
2026-02-15 22:10:00,704.74
2026-02-15 22:20:00,788.23
2026-02-15 22:30:00,476.08
2026-02-15 22:40:00,32.07
2026-02-15 22:50:00,29.64
2026-02-15 23:00:00,30.89
2026-02-15 23:10:00,29.38
2026-02-15 23:20:00,29.35
2026-02-15 23:30:00,29.57
2026-02-15 23:40:00,33.3
2026-02-15 23:50:00,34.03
2026-02-16 00:00:00,30.9
2026-02-16 00:10:00,29.51
2026-02-16 00:20:00,29.44
2026-02-16 00:30:00,29.69
2026-02-16 00:40:00,29.65
2026-02-16 00:50:00,29.57
2026-02-16 01:00:00,29.44
2026-02-16 01:10:00,29.45
2026-02-16 01:20:00,29.47
2026-02-16 01:30:00,29.53
2026-02-16 01:40:00,29.73
2026-02-16 01:50:00,29.6
2026-02-16 02:00:00,29.54
2026-02-16 02:10:00,29.43
2026-02-16 02:20:00,29.42
2026-02-16 02:30:00,31.64
2026-02-16 02:40:00,29.56
2026-02-16 02:50:00,29.55
2026-02-16 03:00:00,29.53
2026-02-16 03:10:00,29.44
2026-02-16 03:20:00,29.5
2026-02-16 03:30:00,33.4
2026-02-16 03:40:00,35.06
2026-02-16 03:50:00,35.02
2026-02-16 04:00:00,34.82
2026-02-16 04:10:00,34.87
2026-02-16 04:20:00,34.86
2026-02-16 04:30:00,34.85
2026-02-16 04:40:00,34.99
2026-02-16 04:50:00,34.95
2026-02-16 05:00:00,34.89
2026-02-16 05:10:00,34.82
2026-02-16 05:20:00,34.74
2026-02-16 05:30:00,36.78
2026-02-16 05:40:00,37.83
2026-02-16 05:50:00,33.72
2026-02-16 06:00:00,31.63
2026-02-16 06:10:00,30.01
2026-02-16 06:20:00,31.25
2026-02-16 06:30:00,29.54
2026-02-16 06:40:00,29.58
2026-02-16 06:50:00,29.64
2026-02-16 07:00:00,29.5
2026-02-16 07:10:00,29.32
2026-02-16 07:20:00,34.28
2026-02-16 07:30:00,94.03
2026-02-16 07:40:00,128.11
2026-02-16 07:50:00,104.67
2026-02-16 08:00:00,150.98
2026-02-16 08:10:00,156.67
2026-02-16 08:20:00,225.76
2026-02-16 08:30:00,220.13
2026-02-16 08:40:00,210.54
2026-02-16 08:50:00,198.03
2026-02-16 09:00:00,216.45
2026-02-16 09:10:00,271.48
2026-02-16 09:20:00,167.11
2026-02-16 09:30:00,143.66
2026-02-16 09:40:00,129.2
2026-02-16 09:50:00,131.98
2026-02-16 10:00:00,118.43
2026-02-16 10:10:00,124.89
2026-02-16 10:20:00,80.0
2026-02-16 10:30:00,136.22
2026-02-16 10:40:00,145.8
2026-02-16 10:50:00,130.33
2026-02-16 11:00:00,104.3
2026-02-16 11:10:00,122.65
2026-02-16 11:20:00,129.61
2026-02-16 11:30:00,115.39
2026-02-16 11:40:00,143.63
2026-02-16 11:50:00,191.07
2026-02-16 12:00:00,176.77
2026-02-16 12:10:00,194.07
2026-02-16 12:20:00,187.62
2026-02-16 12:30:00,134.33
2026-02-16 12:40:00,117.23
2026-02-16 12:50:00,92.27
2026-02-16 13:00:00,83.37
2026-02-16 13:10:00,78.76
2026-02-16 13:20:00,72.21
2026-02-16 13:30:00,68.05
2026-02-16 13:40:00,65.59
2026-02-16 13:50:00,65.27
2026-02-16 14:00:00,94.43
2026-02-16 14:10:00,112.06
2026-02-16 14:20:00,146.21
2026-02-16 14:30:00,148.83
2026-02-16 14:40:00,151.12
2026-02-16 14:50:00,159.05
2026-02-16 15:00:00,148.58
2026-02-16 15:10:00,119.18
2026-02-16 15:20:00,100.767
2026-02-16 15:30:00,116.556
