Performing stepwise search to minimize aic
 ARIMA(0,0,0)(1,0,1)[24] intercept   : AIC=52535.064, Time=16.67 sec
 ARIMA(0,0,0)(0,0,0)[24] intercept   : AIC=52720.839, Time=0.06 sec
 ARIMA(1,0,0)(1,0,0)[24] intercept   : AIC=44430.641, Time=30.22 sec
 ARIMA(0,0,1)(0,0,1)[24] intercept   : AIC=48711.088, Time=26.19 sec
 ARIMA(0,0,0)(0,0,0)[24]             : AIC=54832.925, Time=0.06 sec
 ARIMA(1,0,0)(0,0,0)[24] intercept   : AIC=44429.369, Time=0.21 sec
 ARIMA(1,0,0)(0,0,1)[24] intercept   : AIC=44430.649, Time=14.07 sec
 ARIMA(1,0,0)(1,0,1)[24] intercept   : AIC=44432.643, Time=26.92 sec
 ARIMA(2,0,0)(0,0,0)[24] intercept   : AIC=44323.362, Time=0.38 sec
 ARIMA(2,0,0)(1,0,0)[24] intercept   : AIC=44324.820, Time=24.84 sec
 ARIMA(2,0,0)(0,0,1)[24] intercept   : AIC=44324.825, Time=2.53 sec
 ARIMA(2,0,0)(1,0,1)[24] intercept   : AIC=44326.820, Time=12.12 sec
 ARIMA(3,0,0)(0,0,0)[24] intercept   : AIC=44315.767, Time=0.35 sec
 ARIMA(3,0,0)(1,0,0)[24] intercept   : AIC=44316.947, Time=3.96 sec
 ARIMA(3,0,0)(0,0,1)[24] intercept   : AIC=44316.952, Time=2.48 sec
 ARIMA(3,0,0)(1,0,1)[24] intercept   : AIC=44318.945, Time=49.55 sec
 ARIMA(3,0,1)(0,0,0)[24] intercept   : AIC=44317.774, Time=2.75 sec
 ARIMA(2,0,1)(0,0,0)[24] intercept   : AIC=44317.273, Time=1.59 sec
 ARIMA(3,0,0)(0,0,0)[24]             : AIC=44376.381, Time=0.14 sec

Best model:  ARIMA(3,0,0)(0,0,0)[24] intercept
Total fit time: 215.126 seconds
