Fase,FechaMedicion,target_name,predictions,0.1,0.5,0.9
1,2026-03-14 13:20:00,Potencia,422.13458,323.588,422.13458,543.6739
1,2026-03-14 13:30:00,Potencia,350.38037,271.42654,350.38037,452.30112
1,2026-03-14 13:40:00,Potencia,399.1187,306.67145,399.1187,515.21655
1,2026-03-14 13:50:00,Potencia,786.0969,617.1003,786.0969,992.1852
1,2026-03-14 14:00:00,Potencia,333.7093,258.79773,333.7093,428.16382
1,2026-03-14 14:10:00,Potencia,257.00375,203.53053,257.00375,322.0039
2,2026-03-14 13:20:00,Potencia,22.22995,17.620972,22.22995,25.459
2,2026-03-14 13:30:00,Potencia,21.63118,17.62207,21.63118,25.759491
2,2026-03-14 13:40:00,Potencia,22.38295,17.76857,22.38295,25.859787
2,2026-03-14 13:50:00,Potencia,22.302551,17.674149,22.302551,26.131073
2,2026-03-14 14:00:00,Potencia,21.27974,17.713623,21.27974,26.526962
2,2026-03-14 14:10:00,Potencia,22.35466,17.821014,22.35466,27.136826
