Fase,FechaMedicion,target_name,predictions,0.1,0.5,0.9
1,2026-03-14 13:20:00,Potencia,475.3107,356.77853,475.3107,622.3836
1,2026-03-14 13:30:00,Potencia,400.12598,293.58725,400.12598,537.9808
1,2026-03-14 13:40:00,Potencia,420.89438,307.83655,420.89438,567.66223
1,2026-03-14 13:50:00,Potencia,747.40265,584.677,747.40265,947.9111
1,2026-03-14 14:00:00,Potencia,331.86755,253.57501,331.86755,460.4126
1,2026-03-14 14:10:00,Potencia,266.35855,207.06017,266.35855,340.47827
2,2026-03-14 13:20:00,Potencia,17.921326,10.896515,17.921326,22.748077
2,2026-03-14 13:30:00,Potencia,18.112427,10.995941,18.112427,24.65538
2,2026-03-14 13:40:00,Potencia,18.823532,12.180344,18.823532,25.464142
2,2026-03-14 13:50:00,Potencia,18.128784,11.427597,18.128784,24.799683
2,2026-03-14 14:00:00,Potencia,19.787064,12.869034,19.787064,26.71466
2,2026-03-14 14:10:00,Potencia,20.313812,13.847885,20.313812,26.892975
