FechaMedicion,Potencia,Voltaje,FactorPotencia,Frecuencia,phase,variant
2026-02-15 13:10:00,61.62,115.07,0.616,59.93,2,multivariable
2026-02-15 13:20:00,65.475,115.762,0.62,59.962,2,multivariable
2026-02-15 13:30:00,65.88,116.18,0.623,59.96,2,multivariable
2026-02-15 13:40:00,66.3,116.32,0.634,59.96,2,multivariable
2026-02-15 13:50:00,73.29,114.44,0.673,59.96,2,multivariable
2026-02-15 14:00:00,78.25,114.07,0.673,59.95,2,multivariable
2026-02-15 14:10:00,76.11,114.31,0.665,59.94,2,multivariable
2026-02-15 14:20:00,80.08,115.5,0.684,59.94,2,multivariable
2026-02-15 14:30:00,90.34,114.46,0.71,59.96,2,multivariable
2026-02-15 14:40:00,108.13,116.08,0.769,59.94,2,multivariable
2026-02-15 14:50:00,107.66,115.54,0.75,59.95,2,multivariable
2026-02-15 15:00:00,107.89,115.76,0.749,59.95,2,multivariable
2026-02-15 15:10:00,107.85,115.73,0.758,59.98,2,multivariable
2026-02-15 15:20:00,105.01,114.52,0.759,59.94,2,multivariable
2026-02-15 15:30:00,72.19,115.74,0.658,59.96,2,multivariable
2026-02-15 15:40:00,71.27,116.23,0.638,59.94,2,multivariable
2026-02-15 15:50:00,75.94,116.53,0.652,59.96,2,multivariable
2026-02-15 16:00:00,104.06,117.59,0.714,59.93,2,multivariable
2026-02-15 16:10:00,112.43,117.72,0.73,59.99,2,multivariable
2026-02-15 16:20:00,115.39,117.21,0.721,59.94,2,multivariable
2026-02-15 16:30:00,112.96,116.67,0.715,59.96,2,multivariable
2026-02-15 16:40:00,113.53,116.76,0.703,59.97,2,multivariable
2026-02-15 16:50:00,101.53,118.37,0.694,59.97,2,multivariable
2026-02-15 17:00:00,96.08,118.56,0.698,59.95,2,multivariable
2026-02-15 17:10:00,503.36,117.15,0.846,59.97,2,multivariable
2026-02-15 17:20:00,944.28,114.18,0.99,59.94,2,multivariable
2026-02-15 17:30:00,961.68,115.16,0.99,59.99,2,multivariable
2026-02-15 17:40:00,974.46,116.55,0.99,59.93,2,multivariable
2026-02-15 17:50:00,990.72,117.53,0.99,59.93,2,multivariable
2026-02-15 18:00:00,986.06,117.3,0.99,59.98,2,multivariable
2026-02-15 18:10:00,921.43,115.28,0.99,59.96,2,multivariable
2026-02-15 18:20:00,900.45,113.5,0.99,59.93,2,multivariable
2026-02-15 18:30:00,919.08,114.79,0.99,59.94,2,multivariable
2026-02-15 18:40:00,531.32,116.51,0.893,59.96,2,multivariable
2026-02-15 18:50:00,938.73,114.93,0.988,59.97,2,multivariable
2026-02-15 19:00:00,888.1,113.69,0.99,59.97,2,multivariable
2026-02-15 19:10:00,918.95,114.28,0.99,59.95,2,multivariable
2026-02-15 19:20:00,887.586,115.957,0.987,59.943,2,multivariable
2026-02-15 19:30:00,560.74,115.86,0.978,59.97,2,multivariable
2026-02-15 19:40:00,541.5,115.18,0.975,59.98,2,multivariable
2026-02-15 19:50:00,192.79,116.55,0.781,59.98,2,multivariable
2026-02-15 20:00:00,172.58,117.64,0.799,59.95,2,multivariable
2026-02-15 20:10:00,172.57,115.86,0.808,59.97,2,multivariable
2026-02-15 20:20:00,169.94,116.03,0.808,59.98,2,multivariable
2026-02-15 20:30:00,155.79,116.65,0.785,59.96,2,multivariable
2026-02-15 20:40:00,138.32,115.37,0.752,59.96,2,multivariable
2026-02-15 20:50:00,135.75,116.32,0.756,59.95,2,multivariable
2026-02-15 21:00:00,132.64,116.88,0.755,59.99,2,multivariable
2026-02-15 21:10:00,135.0,116.11,0.764,59.93,2,multivariable
2026-02-15 21:20:00,133.59,117.42,0.761,59.96,2,multivariable
2026-02-15 21:30:00,51.49,116.18,0.715,59.97,2,multivariable
2026-02-15 21:40:00,37.82,116.61,0.66,59.93,2,multivariable
2026-02-15 21:50:00,34.956,115.7,0.647,59.956,2,multivariable
2026-02-15 22:00:00,35.36,115.21,0.649,59.95,2,multivariable
2026-02-15 22:10:00,704.74,113.48,0.965,59.97,2,multivariable
2026-02-15 22:20:00,788.23,114.11,1.0,59.94,2,multivariable
2026-02-15 22:30:00,476.08,114.48,0.845,59.97,2,multivariable
2026-02-15 22:40:00,32.07,117.15,0.625,59.98,2,multivariable
2026-02-15 22:50:00,29.64,117.12,0.604,59.95,2,multivariable
2026-02-15 23:00:00,30.89,116.85,0.611,59.96,2,multivariable
2026-02-15 23:10:00,29.38,115.68,0.61,59.95,2,multivariable
2026-02-15 23:20:00,29.35,116.05,0.61,59.96,2,multivariable
2026-02-15 23:30:00,29.57,117.33,0.609,59.93,2,multivariable
2026-02-15 23:40:00,33.3,117.75,0.615,59.96,2,multivariable
2026-02-15 23:50:00,34.03,117.5,0.622,59.96,2,multivariable
2026-02-16 00:00:00,30.9,116.77,0.613,59.96,2,multivariable
2026-02-16 00:10:00,29.51,117.23,0.609,59.98,2,multivariable
2026-02-16 00:20:00,29.44,116.91,0.61,59.94,2,multivariable
2026-02-16 00:30:00,29.69,118.85,0.604,59.94,2,multivariable
2026-02-16 00:40:00,29.65,118.688,0.595,59.95,2,multivariable
2026-02-16 00:50:00,29.57,117.93,0.594,59.97,2,multivariable
2026-02-16 01:00:00,29.44,116.45,0.606,59.95,2,multivariable
2026-02-16 01:10:00,29.45,116.475,0.61,59.975,2,multivariable
2026-02-16 01:20:00,29.47,117.4,0.605,59.97,2,multivariable
2026-02-16 01:30:00,29.53,118.48,0.591,59.93,2,multivariable
2026-02-16 01:40:00,29.73,120.0,0.589,59.96,2,multivariable
2026-02-16 01:50:00,29.6,118.98,0.602,59.96,2,multivariable
2026-02-16 02:00:00,29.54,118.23,0.606,59.95,2,multivariable
2026-02-16 02:10:00,29.43,117.35,0.601,60.0,2,multivariable
2026-02-16 02:20:00,29.42,117.15,0.593,59.95,2,multivariable
2026-02-16 02:30:00,31.64,118.52,0.599,59.97,2,multivariable
2026-02-16 02:40:00,29.56,118.7,0.602,59.96,2,multivariable
2026-02-16 02:50:00,29.55,118.65,0.602,59.94,2,multivariable
2026-02-16 03:00:00,29.53,117.89,0.6,59.97,2,multivariable
2026-02-16 03:10:00,29.44,117.82,0.596,59.98,2,multivariable
2026-02-16 03:20:00,29.5,118.31,0.593,59.93,2,multivariable
2026-02-16 03:30:00,33.4,118.26,0.627,59.95,2,multivariable
2026-02-16 03:40:00,35.06,119.03,0.64,59.93,2,multivariable
2026-02-16 03:50:00,35.02,118.83,0.64,59.98,2,multivariable
2026-02-16 04:00:00,34.82,117.78,0.636,59.97,2,multivariable
2026-02-16 04:10:00,34.87,116.78,0.64,59.95,2,multivariable
2026-02-16 04:20:00,34.86,116.87,0.644,59.94,2,multivariable
2026-02-16 04:30:00,34.85,116.48,0.649,59.97,2,multivariable
2026-02-16 04:40:00,34.99,118.81,0.64,59.96,2,multivariable
2026-02-16 04:50:00,34.95,118.82,0.633,59.98,2,multivariable
2026-02-16 05:00:00,34.89,117.12,0.628,59.95,2,multivariable
2026-02-16 05:10:00,34.82,116.42,0.641,59.94,2,multivariable
2026-02-16 05:20:00,34.74,115.8,0.649,59.95,2,multivariable
2026-02-16 05:30:00,36.78,115.9,0.647,59.99,2,multivariable
2026-02-16 05:40:00,37.83,117.76,0.64,59.98,2,multivariable
2026-02-16 05:50:00,33.72,118.77,0.617,59.95,2,multivariable
2026-02-16 06:00:00,31.63,118.45,0.614,59.92,2,multivariable
2026-02-16 06:10:00,30.01,116.96,0.606,59.98,2,multivariable
2026-02-16 06:20:00,31.25,116.22,0.613,59.94,2,multivariable
2026-02-16 06:30:00,29.54,117.34,0.602,59.97,2,multivariable
2026-02-16 06:40:00,29.58,118.55,0.602,59.97,2,multivariable
2026-02-16 06:50:00,29.64,117.57,0.61,59.96,2,multivariable
2026-02-16 07:00:00,29.5,117.41,0.61,59.96,2,multivariable
2026-02-16 07:10:00,29.32,115.83,0.609,59.98,2,multivariable
2026-02-16 07:20:00,34.28,116.25,0.617,59.94,2,multivariable
2026-02-16 07:30:00,94.03,116.63,0.68,59.96,2,multivariable
2026-02-16 07:40:00,128.11,116.42,0.74,59.97,2,multivariable
2026-02-16 07:50:00,104.67,115.82,0.697,59.97,2,multivariable
2026-02-16 08:00:00,150.98,115.75,0.796,59.96,2,multivariable
2026-02-16 08:10:00,156.67,114.64,0.801,59.96,2,multivariable
2026-02-16 08:20:00,225.76,116.27,0.815,59.96,2,multivariable
2026-02-16 08:30:00,220.13,117.2,0.819,59.93,2,multivariable
2026-02-16 08:40:00,210.54,116.09,0.827,59.96,2,multivariable
2026-02-16 08:50:00,198.03,112.94,0.827,59.98,2,multivariable
2026-02-16 09:00:00,216.45,113.86,0.852,59.97,2,multivariable
2026-02-16 09:10:00,271.48,115.88,0.84,59.96,2,multivariable
2026-02-16 09:20:00,167.11,120.49,0.807,59.95,2,multivariable
2026-02-16 09:30:00,143.66,117.71,0.79,59.93,2,multivariable
2026-02-16 09:40:00,129.2,115.83,0.756,59.94,2,multivariable
2026-02-16 09:50:00,131.98,116.75,0.76,59.98,2,multivariable
2026-02-16 10:00:00,118.43,117.0,0.721,59.97,2,multivariable
2026-02-16 10:10:00,124.89,116.41,0.681,59.96,2,multivariable
2026-02-16 10:20:00,80.0,115.93,0.636,59.94,2,multivariable
2026-02-16 10:30:00,136.22,116.13,0.784,59.96,2,multivariable
2026-02-16 10:40:00,145.8,117.744,0.802,59.967,2,multivariable
2026-02-16 10:50:00,130.33,115.64,0.79,59.98,2,multivariable
2026-02-16 11:00:00,104.3,113.18,0.744,59.97,2,multivariable
2026-02-16 11:10:00,122.65,114.18,0.674,59.97,2,multivariable
2026-02-16 11:20:00,129.61,116.83,0.688,59.94,2,multivariable
2026-02-16 11:30:00,115.39,118.13,0.669,59.93,2,multivariable
2026-02-16 11:40:00,143.63,117.03,0.769,59.99,2,multivariable
2026-02-16 11:50:00,191.07,117.5,0.835,59.94,2,multivariable
2026-02-16 12:00:00,176.77,116.08,0.826,59.96,2,multivariable
2026-02-16 12:10:00,194.07,115.98,0.839,59.96,2,multivariable
2026-02-16 12:20:00,187.62,116.33,0.815,59.95,2,multivariable
2026-02-16 12:30:00,134.33,116.38,0.782,59.95,2,multivariable
2026-02-16 12:40:00,117.23,118.39,0.748,59.98,2,multivariable
2026-02-16 12:50:00,92.27,119.44,0.687,59.98,2,multivariable
2026-02-16 13:00:00,83.37,119.82,0.689,59.94,2,multivariable
2026-02-16 13:10:00,78.76,118.0,0.682,59.95,2,multivariable
2026-02-16 13:20:00,72.21,118.19,0.665,59.94,2,multivariable
2026-02-16 13:30:00,68.05,118.24,0.659,59.98,2,multivariable
2026-02-16 13:40:00,65.59,118.83,0.63,59.96,2,multivariable
2026-02-16 13:50:00,65.27,118.32,0.625,59.96,2,multivariable
2026-02-16 14:00:00,94.43,117.81,0.682,59.96,2,multivariable
2026-02-16 14:10:00,112.06,118.39,0.736,59.97,2,multivariable
2026-02-16 14:20:00,146.21,118.09,0.823,59.95,2,multivariable
2026-02-16 14:30:00,148.83,117.09,0.813,59.97,2,multivariable
2026-02-16 14:40:00,151.12,117.58,0.828,59.97,2,multivariable
2026-02-16 14:50:00,159.05,117.42,0.824,59.96,2,multivariable
2026-02-16 15:00:00,148.58,117.01,0.808,59.96,2,multivariable
2026-02-16 15:10:00,119.18,117.14,0.73,59.98,2,multivariable
2026-02-16 15:20:00,100.767,118.0,0.674,59.944,2,multivariable
2026-02-16 15:30:00,116.556,116.278,0.703,59.967,2,multivariable
2026-02-16 15:40:00,108.53,117.61,0.685,59.97,2,multivariable
2026-02-16 15:50:00,113.03,117.99,0.697,59.97,2,multivariable
2026-02-16 16:00:00,101.65,118.16,0.667,59.94,2,multivariable
2026-02-16 16:10:00,105.58,119.38,0.681,59.97,2,multivariable
2026-02-16 16:20:00,92.48,118.5,0.677,59.99,2,multivariable
2026-02-16 16:30:00,87.53,119.73,0.663,59.96,2,multivariable
2026-02-16 16:40:00,92.12,118.01,0.664,59.95,2,multivariable
2026-02-16 16:50:00,89.82,118.27,0.659,59.97,2,multivariable
2026-02-16 17:00:00,88.88,118.1,0.657,59.98,2,multivariable
2026-02-16 17:10:00,119.0,117.9,0.734,59.97,2,multivariable
2026-02-16 17:20:00,151.79,117.32,0.809,59.94,2,multivariable
2026-02-16 17:30:00,151.2,118.58,0.803,59.96,2,multivariable
2026-02-16 17:40:00,150.58,120.49,0.801,59.97,2,multivariable
2026-02-16 17:50:00,157.0,120.73,0.807,59.95,2,multivariable
2026-02-16 18:00:00,179.65,119.59,0.835,59.98,2,multivariable
2026-02-16 18:10:00,209.48,117.41,0.846,59.93,2,multivariable
2026-02-16 18:20:00,206.63,117.39,0.849,59.98,2,multivariable
2026-02-16 18:30:00,218.08,115.46,0.849,59.97,2,multivariable
2026-02-16 18:40:00,223.62,116.67,0.853,59.97,2,multivariable
2026-02-16 18:50:00,195.86,118.72,0.84,59.98,2,multivariable
2026-02-16 19:00:00,143.52,120.01,0.749,59.98,2,multivariable
2026-02-16 19:10:00,121.94,119.13,0.728,59.95,2,multivariable
2026-02-16 19:20:00,214.98,117.06,0.836,59.95,2,multivariable
2026-02-16 19:30:00,194.01,116.36,0.823,59.97,2,multivariable
2026-02-16 19:40:00,160.76,117.07,0.795,59.96,2,multivariable
2026-02-16 19:50:00,192.58,118.25,0.781,59.96,2,multivariable
2026-02-16 20:00:00,212.98,119.33,0.772,59.97,2,multivariable
2026-02-16 20:10:00,210.31,118.24,0.772,59.93,2,multivariable
2026-02-16 20:20:00,210.514,118.371,0.774,59.986,2,multivariable
2026-02-16 20:30:00,186.77,117.56,0.741,59.99,2,multivariable
2026-02-16 20:40:00,179.5,118.32,0.727,59.93,2,multivariable
2026-02-16 20:50:00,180.12,118.27,0.723,59.93,2,multivariable
2026-02-16 21:00:00,177.58,117.91,0.734,59.94,2,multivariable
2026-02-16 21:10:00,179.06,117.12,0.74,59.94,2,multivariable
2026-02-16 21:20:00,634.54,117.37,0.904,59.97,2,multivariable
2026-02-16 21:30:00,945.53,117.05,0.952,59.94,2,multivariable
2026-02-16 21:40:00,866.6,115.338,1.0,59.938,2,multivariable
2026-02-16 21:50:00,847.25,115.66,1.0,59.96,2,multivariable
2026-02-16 22:00:00,875.589,117.711,1.0,59.922,2,multivariable
2026-02-16 22:10:00,852.31,116.05,1.0,59.95,2,multivariable
2026-02-16 22:20:00,868.94,117.25,1.0,59.98,2,multivariable
2026-02-16 22:30:00,709.79,118.15,0.945,59.96,2,multivariable
2026-02-16 22:40:00,51.33,119.58,0.656,59.97,2,multivariable
2026-02-16 22:50:00,21.58,116.21,0.51,59.95,2,multivariable
2026-02-16 23:00:00,21.13,116.65,0.498,59.95,2,multivariable
2026-02-16 23:10:00,25.16,116.41,0.533,59.97,2,multivariable
2026-02-16 23:20:00,19.94,119.33,0.485,59.98,2,multivariable
2026-02-16 23:30:00,24.45,119.6,0.522,59.94,2,multivariable
2026-02-16 23:40:00,23.47,119.78,0.514,59.95,2,multivariable
2026-02-16 23:50:00,19.78,117.05,0.486,59.97,2,multivariable
2026-02-17 00:00:00,19.76,116.56,0.484,59.94,2,multivariable
2026-02-17 00:10:00,19.73,117.45,0.49,59.95,2,multivariable
2026-02-17 00:20:00,19.78,118.61,0.488,59.94,2,multivariable
2026-02-17 00:30:00,21.36,118.7,0.497,59.95,2,multivariable
2026-02-17 00:40:00,19.84,117.36,0.49,59.97,2,multivariable
2026-02-17 00:50:00,19.8,118.1,0.493,59.944,2,multivariable
2026-02-17 01:00:00,19.756,117.822,0.49,59.944,2,multivariable
2026-02-17 01:10:00,19.87,118.36,0.492,59.95,2,multivariable
2026-02-17 01:20:00,19.77,118.82,0.481,59.95,2,multivariable
