FechaMedicion,Potencia,Voltaje,FactorPotencia,Frecuencia,phase,variant
2026-02-15 13:10:00,405.89,119.81,0.877,59.97,1,univariable
2026-02-15 13:20:00,369.512,120.038,0.874,59.962,1,univariable
2026-02-15 13:30:00,499.55,118.86,0.909,59.97,1,univariable
2026-02-15 13:40:00,1003.49,118.33,0.934,59.95,1,univariable
2026-02-15 13:50:00,696.68,119.23,0.937,59.96,1,univariable
2026-02-15 14:00:00,435.45,118.78,0.856,59.91,1,univariable
2026-02-15 14:10:00,279.79,120.16,0.872,59.95,1,univariable
2026-02-15 14:20:00,375.04,119.1,0.846,59.94,1,univariable
2026-02-15 14:30:00,303.42,120.07,0.88,59.96,1,univariable
2026-02-15 14:40:00,429.61,119.73,0.888,59.96,1,univariable
2026-02-15 14:50:00,401.47,119.96,0.92,59.95,1,univariable
2026-02-15 15:00:00,605.0,119.78,0.971,59.97,1,univariable
2026-02-15 15:10:00,230.52,120.75,0.898,59.97,1,univariable
2026-02-15 15:20:00,513.25,119.89,0.901,59.95,1,univariable
2026-02-15 15:30:00,395.53,119.84,0.876,59.96,1,univariable
2026-02-15 15:40:00,522.03,119.18,0.883,59.95,1,univariable
2026-02-15 15:50:00,394.37,119.87,0.878,59.98,1,univariable
2026-02-15 16:00:00,306.42,118.9,0.885,59.94,1,univariable
2026-02-15 16:10:00,419.29,119.35,0.889,59.97,1,univariable
2026-02-15 16:20:00,428.35,119.33,0.88,59.92,1,univariable
2026-02-15 16:30:00,405.84,119.7,0.887,59.96,1,univariable
2026-02-15 16:40:00,425.51,119.87,0.911,59.97,1,univariable
2026-02-15 16:50:00,350.56,119.73,0.875,59.95,1,univariable
2026-02-15 17:00:00,262.03,119.54,0.884,59.95,1,univariable
2026-02-15 17:10:00,403.03,119.45,0.882,59.96,1,univariable
2026-02-15 17:20:00,360.67,119.38,0.899,59.94,1,univariable
2026-02-15 17:30:00,359.85,118.1,0.882,59.98,1,univariable
2026-02-15 17:40:00,258.66,119.47,0.878,59.94,1,univariable
2026-02-15 17:50:00,383.15,118.16,0.899,59.96,1,univariable
2026-02-15 18:00:00,495.86,116.46,0.925,59.96,1,univariable
2026-02-15 18:10:00,346.79,119.74,0.916,59.93,1,univariable
2026-02-15 18:20:00,420.46,118.88,0.909,59.93,1,univariable
2026-02-15 18:30:00,313.13,118.08,0.917,59.95,1,univariable
2026-02-15 18:40:00,424.07,117.73,0.911,59.96,1,univariable
2026-02-15 18:50:00,330.57,116.78,0.913,59.97,1,univariable
2026-02-15 19:00:00,481.07,119.67,0.908,59.97,1,univariable
2026-02-15 19:10:00,324.66,118.95,0.918,59.96,1,univariable
2026-02-15 19:20:00,433.829,117.771,0.911,59.957,1,univariable
2026-02-15 19:30:00,392.76,117.83,0.925,59.96,1,univariable
2026-02-15 19:40:00,449.25,119.04,0.915,59.97,1,univariable
2026-02-15 19:50:00,560.93,116.92,0.931,59.95,1,univariable
2026-02-15 20:00:00,1293.27,115.98,0.963,59.96,1,univariable
2026-02-15 20:10:00,421.17,119.21,0.902,59.97,1,univariable
2026-02-15 20:20:00,538.84,119.57,0.912,59.96,1,univariable
2026-02-15 20:30:00,530.5,119.14,0.925,59.94,1,univariable
2026-02-15 20:40:00,346.81,120.43,0.905,59.93,1,univariable
2026-02-15 20:50:00,353.57,120.44,0.906,59.96,1,univariable
2026-02-15 21:00:00,671.08,119.88,0.972,59.99,1,univariable
2026-02-15 21:10:00,242.57,121.29,0.899,59.96,1,univariable
2026-02-15 21:20:00,613.53,119.39,0.906,59.94,1,univariable
2026-02-15 21:30:00,500.41,118.77,0.892,59.99,1,univariable
2026-02-15 21:40:00,340.21,119.5,0.85,59.93,1,univariable
2026-02-15 21:50:00,264.722,119.778,0.871,59.933,1,univariable
2026-02-15 22:00:00,323.82,120.15,0.85,59.93,1,univariable
2026-02-15 22:10:00,516.05,120.54,0.922,59.96,1,univariable
2026-02-15 22:20:00,298.91,120.85,0.839,59.96,1,univariable
2026-02-15 22:30:00,255.17,121.02,0.857,59.98,1,univariable
2026-02-15 22:40:00,287.83,120.28,0.838,59.98,1,univariable
2026-02-15 22:50:00,214.3,120.61,0.843,59.98,1,univariable
2026-02-15 23:00:00,277.12,120.39,0.838,59.97,1,univariable
2026-02-15 23:10:00,245.16,121.29,0.839,59.97,1,univariable
2026-02-15 23:20:00,294.45,120.68,0.844,59.95,1,univariable
2026-02-15 23:30:00,272.36,120.48,0.832,59.94,1,univariable
2026-02-15 23:40:00,212.82,120.79,0.838,59.98,1,univariable
2026-02-15 23:50:00,285.11,120.41,0.834,59.97,1,univariable
2026-02-16 00:00:00,246.69,121.88,0.839,59.97,1,univariable
2026-02-16 00:10:00,294.91,121.34,0.823,59.97,1,univariable
2026-02-16 00:20:00,177.02,121.83,0.825,59.96,1,univariable
2026-02-16 00:30:00,328.4,120.16,0.829,59.96,1,univariable
2026-02-16 00:40:00,210.812,120.55,0.829,59.95,1,univariable
2026-02-16 00:50:00,250.56,120.98,0.828,59.96,1,univariable
2026-02-16 01:00:00,238.82,121.83,0.83,59.94,1,univariable
2026-02-16 01:10:00,190.2,122.075,0.835,59.962,1,univariable
2026-02-16 01:20:00,318.0,121.53,0.836,59.98,1,univariable
2026-02-16 01:30:00,220.37,121.47,0.844,59.96,1,univariable
2026-02-16 01:40:00,277.0,120.41,0.829,59.98,1,univariable
2026-02-16 01:50:00,174.4,121.53,0.834,59.96,1,univariable
2026-02-16 02:00:00,278.75,120.85,0.829,59.97,1,univariable
2026-02-16 02:10:00,256.52,121.47,0.841,59.96,1,univariable
2026-02-16 02:20:00,258.32,121.47,0.827,59.95,1,univariable
2026-02-16 02:30:00,270.26,121.07,0.843,59.97,1,univariable
2026-02-16 02:40:00,230.09,120.89,0.832,59.95,1,univariable
2026-02-16 02:50:00,281.37,120.67,0.846,59.94,1,univariable
2026-02-16 03:00:00,504.39,120.88,0.941,59.93,1,univariable
2026-02-16 03:10:00,207.26,121.41,0.845,59.98,1,univariable
2026-02-16 03:20:00,340.25,121.03,0.857,59.95,1,univariable
2026-02-16 03:30:00,329.77,120.67,0.83,59.95,1,univariable
2026-02-16 03:40:00,261.52,120.52,0.827,59.95,1,univariable
2026-02-16 03:50:00,233.92,121.21,0.829,59.98,1,univariable
2026-02-16 04:00:00,263.17,121.15,0.827,59.97,1,univariable
2026-02-16 04:10:00,214.66,121.24,0.832,59.93,1,univariable
2026-02-16 04:20:00,247.41,121.06,0.824,59.95,1,univariable
2026-02-16 04:30:00,250.6,121.07,0.838,59.95,1,univariable
2026-02-16 04:40:00,229.57,120.27,0.821,59.98,1,univariable
2026-02-16 04:50:00,296.52,119.74,0.831,59.95,1,univariable
2026-02-16 05:00:00,218.09,120.66,0.825,59.97,1,univariable
2026-02-16 05:10:00,312.45,120.83,0.832,59.95,1,univariable
2026-02-16 05:20:00,186.83,121.36,0.831,59.98,1,univariable
2026-02-16 05:30:00,277.11,120.68,0.824,59.99,1,univariable
2026-02-16 05:40:00,271.81,119.24,0.855,59.98,1,univariable
2026-02-16 05:50:00,273.51,119.13,0.827,59.95,1,univariable
2026-02-16 06:00:00,193.18,118.26,0.833,59.95,1,univariable
2026-02-16 06:10:00,309.98,119.11,0.837,59.96,1,univariable
2026-02-16 06:20:00,244.26,121.23,0.837,59.98,1,univariable
2026-02-16 06:30:00,240.98,122.45,0.824,59.94,1,univariable
2026-02-16 06:40:00,275.94,121.79,0.844,59.98,1,univariable
2026-02-16 06:50:00,208.2,122.23,0.828,59.96,1,univariable
2026-02-16 07:00:00,255.36,121.73,0.822,59.98,1,univariable
2026-02-16 07:10:00,180.04,122.33,0.835,59.97,1,univariable
2026-02-16 07:20:00,328.88,120.84,0.842,59.92,1,univariable
2026-02-16 07:30:00,211.14,120.41,0.831,59.95,1,univariable
2026-02-16 07:40:00,266.65,119.73,0.838,59.96,1,univariable
2026-02-16 07:50:00,302.34,119.38,0.884,59.93,1,univariable
2026-02-16 08:00:00,450.05,119.04,0.901,59.95,1,univariable
2026-02-16 08:10:00,227.72,119.98,0.852,59.97,1,univariable
2026-02-16 08:20:00,269.27,120.25,0.856,59.94,1,univariable
2026-02-16 08:30:00,258.16,119.16,0.834,59.94,1,univariable
